"ålder"	"kön"	"2016"
"93 år"	"kvinnor"	8245.5
"94 år"	"män"	2588.0
"94 år"	"kvinnor"	6710.0
"95 år"	"män"	1950.0
"95 år"	"kvinnor"	5518.0
"96 år"	"män"	1231.5
"96 år"	"kvinnor"	3783.0
"97 år"	"män"	704.0
"97 år"	"kvinnor"	2389.0
"98 år"	"män"	456.5
"98 år"	"kvinnor"	1611.0
"99 år"	"män"	276.5
"99 år"	"kvinnor"	1094.5
"100+ år"	"män"	323.5
"100+ år"	"kvinnor"	1615.0
